,Month,PRESENCE,X,Y,Year,evap,heatnet,humid,id,latheat,prep,pressure,radtemp,runoff,soilheat,soilmoi_10cm,soilmoi_1m,soilmoi_2m,soilmoi_40cm,soiltemp_10cm,soiltemp_1m,soiltemp_2m,soiltemp_40cm,surfacetemp,windspeed
28539,1,0.0,17.527131563067233,-4.781255727203513,2005,5.143620364833623e-05,15.859562873840332,0.014929117634892462,24025,128.64195251464844,3.917625872418285e-05,96477.6484375,298.64739990234375,1.2939746056872536e-06,0.2566998600959778,0.35102030634880066,0.3419506251811981,0.3216022551059723,0.35064515471458435,298.60174560546875,298.4786376953125,298.4681091308594,298.4981994628906,299.92181396484375,2.260091781616211
28540,1,0.0,32.655655950563194,2.130107891759403,2005,1.1664152225421276e-05,97.88038635253906,0.009364860132336615,24031,29.17204284667969,5.479559604282258e-06,89257.4453125,301.6248474121094,7.139084345908486e-08,3.121165990829468,0.21137575805187225,0.3297412991523743,0.35584595799446106,0.3231285214424133,301.27044677734375,298.7479248046875,297.44049072265625,299.8504333496094,299.1141357421875,5.025096893310547
28541,1,0.0,32.655655950563194,2.130107891759403,2005,1.1664152225421276e-05,97.88038635253906,0.009364860132336615,24034,29.17204284667969,5.479559604282258e-06,89257.4453125,301.6248474121094,7.139084345908486e-08,3.121165990829468,0.21137575805187225,0.3297412991523743,0.35584595799446106,0.3231285214424133,301.27044677734375,298.7479248046875,297.44049072265625,299.8504333496094,299.1141357421875,5.025096893310547
28542,1,0.0,32.655655950563194,2.130107891759403,2005,1.1664152225421276e-05,97.88038635253906,0.009364860132336615,24085,29.17204284667969,5.479559604282258e-06,89257.4453125,301.6248474121094,7.139084345908486e-08,3.121165990829468,0.21137575805187225,0.3297412991523743,0.35584595799446106,0.3231285214424133,301.27044677734375,298.7479248046875,297.44049072265625,299.8504333496094,299.1141357421875,5.025096893310547
28543,1,0.0,42.80755327546453,1.9528490374153618,2005,1.2152610906923655e-05,116.0813980102539,0.011568536050617695,24058,30.39368057250977,0.0,98770.953125,302.5396728515625,0.0,1.9382245540618896,0.15835723280906674,0.2441480755805969,0.35670897364616394,0.23616982996463776,302.3555603027344,301.1189270019531,300.5528869628906,301.69622802734375,300.50347900390625,7.4599852561950675
28544,1,0.0,26.374148992559558,-1.189283970453555,2005,4.6176799514796585e-05,18.32229423522949,0.016957420855760574,24007,115.4881820678711,5.698605673387647e-05,94977.2578125,297.1560974121094,8.218877155741211e-06,0.3861488997936249,0.4187551140785217,0.4309802353382111,0.453789621591568,0.42216330766677856,297.0920104980469,296.7366027832031,296.6076965332031,296.8528137207031,297.4846496582031,1.7259838581085205
28545,1,0.0,36.262712401337474,-7.685096223752416,2005,5.379664798965678e-05,22.315549850463867,0.014571191743016243,24002,134.54541015625,6.293311162153259e-05,89759.1640625,294.65509033203125,2.4128498807840515e-06,-0.5569077730178833,0.3772781193256378,0.3683452904224396,0.3744555413722992,0.3748907148838043,294.7483215332031,295.31488037109375,295.42230224609375,295.14227294921875,294.8624572753906,3.00842833518982
28546,1,0.0,36.262712401337474,-7.685096223752416,2005,5.379664798965678e-05,22.315549850463867,0.014571191743016243,24063,134.54541015625,6.293311162153259e-05,89759.1640625,294.65509033203125,2.4128498807840515e-06,-0.5569077730178833,0.3772781193256378,0.3683452904224396,0.3744555413722992,0.3748907148838043,294.7483215332031,295.31488037109375,295.42230224609375,295.14227294921875,294.8624572753906,3.00842833518982
28547,1,0.0,26.915134420507304,-3.293591365232331,2005,4.738872667076066e-05,19.225807189941406,0.0167214535176754,24071,118.51921081542969,8.403745596297085e-05,93736.3203125,296.2405090332031,7.865422048780601e-06,0.01613394916057587,0.4168901145458221,0.42186102271080017,0.4334502816200256,0.4182678163051605,296.23516845703125,296.2189025878906,296.20556640625,296.2258605957031,296.5380859375,1.6220719814300537
28548,1,0.0,19.392870419732468,2.5701740208041604,2005,4.13407469750382e-05,32.16122817993164,0.012985341250896454,24061,103.39321899414062,1.166543734143488e-05,96519.1640625,299.46014404296875,1.8291089531885518e-07,1.2286328077316284,0.31396692991256714,0.3282519578933716,0.3287449777126312,0.3244760930538177,299.2568664550781,298.36138916015625,298.0876159667969,298.6356506347656,300.6365051269531,2.218957662582397
28549,1,0.0,15.385543581910895,27.91302437545312,2005,5.037684900344175e-07,20.01899528503418,0.003918576054275036,24021,1.2599250078201294,0.0,96787.96875,283.1976623535156,3.478030016768052e-11,-2.9100301265716557,0.17189967632293698,0.07999994605779648,0.07999994605779648,0.1479382961988449,283.3720703125,285.7167053222656,289.5323486328125,284.05303955078125,282.93572998046875,6.579897880554199
28550,1,0.0,28.77679968585988,28.62822208086979,2005,1.1873866014866508e-06,14.176240921020508,0.004657046869397163,24003,2.969654083251953,2.920279484897037e-07,99415.375,285.9874267578125,8.818180630143503e-10,-0.5950307846069336,0.18539877235889435,0.07999994605779648,0.07999994605779648,0.15517903864383698,286.0208740234375,287.01953125,289.89715576171875,286.1829528808594,285.95037841796875,6.990370273590088
28551,1,0.0,25.190431416237512,24.80414054798773,2005,-3.886731292368495e-08,37.347164154052734,0.0036965764593333006,24076,-0.097207173705101,0.0,95294.828125,285.4311828613281,1.1187409505730718e-11,-1.0128453969955444,0.140858456492424,0.07999994605779648,0.07999994605779648,0.07999994605779648,285.50054931640625,287.8572082519531,291.02886962890625,285.8514404296875,284.85369873046875,6.1947407722473145
