,Blue,Green,Month,NIR,PRESENCE,Red,SWIR1,SWIR2,X,Y,Year,id
0,774.4784314,1094.24902,1,1550.305882,0,1390.1568630000002,2515.978431,2349.927451,37.94647695,18.13468104,2000,18000
1,1408.095618,2507.9163350000003,1,4014.8645420000003,0,3584.964143,5533.996016,4891.326693,29.73408251,22.71847366,2000,18002
2,1345.3280630000002,2317.031621,1,4062.462451,0,3556.889328,5005.1897229999995,4689.27668,-4.64073168,23.14147979,2000,18003
3,683.462,1197.822,1,2629.212,0,2003.112,3730.612,3499.3459999999995,35.19456339,2.6857388010000003,2000,18004
4,1032.296443,1857.3952570000001,1,3357.0355729999997,0,2904.454545,4822.296443,3656.869565,0.929786221,24.9779617,2000,18005
5,1226.8884460000002,2173.7470120000003,1,3894.3984060000003,0,3324.1912350000002,5264.9402390000005,4320.910359,25.74470089,15.63689856,2000,18006
6,1220.4322710000001,2331.3087649999998,1,4360.703187,0,3540.035857,5547.133465999999,5038.595618,29.99984525,15.25298591,2000,18007
7,993.6135457999999,1767.422311,1,3374.1354579999997,0,2616.031873,4163.629482,3301.460159,3.516567606,33.89041293,2000,18008
8,631.76,904.992,1,1932.44,0,1219.808,2948.224,2169.44,42.55446321,8.478576066,2000,18009
9,508.792,668.48,1,1703.872,0,832.988,2095.5679999999998,1198.24,-11.64459616,11.55361011,2000,18010
10,1032.296443,1857.3952570000001,1,3357.0355729999997,0,2904.454545,4822.296443,3656.869565,0.929786221,24.9779617,2000,18012
11,1479.2470119999998,2276.521912,1,3429.434263,0,3179.788845,4294.262948,3867.199203,-8.157118236,23.42887388,2000,18017
12,1247.329365,2501.083333,1,4406.607143,0,3764.484127,5729.023810000001,5279.119048,31.10638481,18.2047612,2000,18018
13,1168.076,1787.22,1,2691.764,0,2416.492,3171.364,2909.276,-4.282649439,32.31446686,2000,18019
14,1921.1988190000002,3400.356299,1,5544.375984,0,4884.6043310000005,6767.261811,6154.773622,25.53191358,25.81611753,2000,18020
15,1032.296443,1857.3952570000001,1,3357.0355729999997,0,2904.454545,4822.296443,3656.869565,0.929786221,24.9779617,2000,18021
16,1945.058,2945.572,1,4877.534000000001,0,4301.932,5764.264,5308.368,-5.101489077,23.830793399999997,2000,18023
17,2036.715415,3312.088933,1,5010.66996,0,4361.903162,6330.049407,5861.219368,18.46947486,25.80601673,2000,18024
18,1168.076,1787.22,1,2691.764,0,2416.492,3171.364,2909.276,-4.282649439,32.31446686,2000,18025
19,2084.531496,3617.433071,1,6340.043307,0,5372.862204999999,16510.73228,7278.098425,18.56803496,27.67537725,2000,18026
20,1259.8366529999998,2522.655378,1,5121.671315,0,4193.458167,6428.6513939999995,5446.539841,25.73040038,15.951752800000001,2000,18027
21,1506.174603,2315.765873,1,3890.801587,0,3353.531746,5063.563492,4153.738095000001,-14.35756192,24.16750591,2000,18028
22,1437.309524,2537.577381,1,4481.492063000001,0,3889.52381,5607.424603,5014.029762,12.90528299,21.89845766,2000,18033
23,1506.174603,2315.765873,1,3890.801587,0,3353.531746,5063.563492,4153.738095000001,-14.35756192,24.16750591,2000,18034
24,993.6135457999999,1767.422311,1,3374.1354579999997,0,2616.031873,4163.629482,3301.460159,3.516567606,33.89041293,2000,18035
25,1090.222222,1810.4742059999999,1,2927.045635,0,2556.730159,4053.39881,3714.886905,-7.615748666,29.45994155,2000,18036
26,1900.106719,3451.7667979999997,1,5474.940711,0,4700.213439,7162.1857709999995,6484.407115,26.55787484,27.33337191,2000,18037
27,1505.577075,2968.711462,1,5408.822134,0,4660.347826,6690.788538000001,6206.986166,-1.914117638,27.62247689,2000,18038
28,416.6454183,517.2828685,1,1609.272908,0,601.8107570000001,1875.440239,1051.278884,-14.67173088,11.78758145,2000,18040
29,2292.944223,3775.4183270000003,1,5747.0,0,5033.685259000001,7156.354581999999,6375.290837,25.67580915,18.75389762,2000,18042
30,1212.367589,1707.3418969999998,1,2461.460474,0,2227.551383,2880.956522,2636.379447,-8.391700869,30.58599911,2000,18046
31,631.76,904.992,1,1932.44,0,1219.808,2948.224,2169.44,42.55446321,8.478576066,2000,18051
32,1437.309524,2537.577381,1,4481.492063000001,0,3889.52381,5607.424603,5014.029762,12.90528299,21.89845766,2000,18052
33,774.4784314,1094.24902,1,1550.305882,0,1390.1568630000002,2515.978431,2349.927451,37.94647695,18.13468104,2000,18053
34,1519.697211,2414.585657,1,3573.1633469999997,0,3195.1035859999997,4485.462151,4129.884462,34.50843699,19.41477028,2000,18054
35,653.7142857000001,886.8492062999999,1,2561.412698,0,917.8055555999999,2206.611111,1394.0,41.27206434,-0.04022828,2000,18055
36,493.15461849999997,837.6947791,1,2378.495984,0,1678.827309,3428.7751,2913.4056219999998,43.80057605,3.910808481,2000,18056
37,464.743083,586.2687747,1,1581.84585,0,681.3083004,1417.944664,802.1620552999999,30.39767413,7.794939568999999,2000,18057
38,1057.370518,1672.868526,1,2619.478088,0,2401.824701,3513.2430280000003,2952.151394,3.3353991339999998,19.77797071,2000,18059
39,1929.7171309999999,2718.314741,1,4515.812749000001,0,3755.7251,5388.87251,4446.135458,6.333273909,15.69221344,2000,18060
40,416.6454183,517.2828685,1,1609.272908,0,601.8107570000001,1875.440239,1051.278884,-14.67173088,11.78758145,2000,18061
41,1948.01581,3168.158103,1,4778.5454549999995,0,4412.371542,6101.29249,5472.8260869999995,5.867601711,21.95390525,2000,18062
42,818.188,1068.156,1,2062.312,0,1417.5479999999998,3974.32,3478.3920000000003,34.03799944,-3.553801061,2000,18063
